J3_2%,J3_10%,J3_30%,J3_50%,J3_70%,J3_90%,J3_100%
356.6,393.0,426.6,451.0,475.4,505.0,550.8
357.8,393.6,426.8,451.0,475.0,504.2,552.2
368.0,391.2,420.4,444.2,468.2,493.8,529.4
352.8,390.4,424.2,449.0,473.2,501.6,547.4
357.6,398.4,425.6,448.0,472.0,502.2,535.8
358.6,394.6,427.6,451.8,475.6,504.6,549.0
360.6,393.2,425.6,449.4,473.0,501.4,542.2
363.8,387.2,420.8,444.6,469.2,495.8,532.1
354.0,391.2,425.2,449.2,473.2,501.6,543.0
365.8,387.8,416.4,439.8,464.0,489.6,523.4
360.6,384.6,410.6,436.4,462.8,490.0,523.6
349.0,386.8,420.8,445.0,469.4,498.2,538.4
362.0,384.8,413.6,437.0,461.6,487.6,522.0
359.8,393.2,425.6,449.4,473.4,503.4,546.8
357.8,382.4,413.8,438.6,464.2,490.4,522.8
358.0,394.6,427.6,452.0,476.4,506.8,553.2
350.4,389.0,421.0,444.0,467.0,495.0,539.6
359.0,393.8,425.4,447.8,470.4,498.0,548.4
359.0,394.8,426.4,449.0,471.8,499.4,544.8
355.8,390.4,421.6,443.8,466.2,492.6,524.8
358.6,392.2,426.7,447.3,469.1,496.4,536.0
360.8,390.6,417.6,438.6,470.8,496.4,530.6
361.2,395.6,426.6,449.6,472.6,500.8,536.4
355.4,395.0,427.8,451.8,474.6,504.6,554.0
356.6,391.4,423.4,446.0,469.0,496.4,529.4
357.4,392.0,423.6,446.4,469.6,497.8,543.8
357.4,389.8,420.4,442.4,465.2,492.4,529.4
366.2,400.8,432.8,456.4,478.6,505.0,543.0
357.6,391.2,422.2,444.6,467.4,495.2,536.2
356.2,391.4,424.6,442.6,467.8,496.6,540.2
360.0,395.6,427.6,450.6,473.2,499.6,537.0
359.0,393.4,425.2,448.0,470.4,497.0,535.0
356.0,391.0,423.2,446.0,468.8,495.2,533.2
353.8,387.4,418.8,441.0,463.8,490.4,527.8
350.8,385.4,417.4,439.4,462.2,488.6,525.8
351.8,387.0,418.8,441.4,464.4,491.0,529.0
350.6,386.0,418.0,440.2,462.8,490.4,530.6
362.0,396.6,427.2,449.6,471.0,497.2,539.0
370.8,403.8,433.8,455.6,476.6,502.4,536.2
356.6,394.2,419.4,449.2,462.8,492.6,528.4
345.8,380.4,411.8,433.6,456.0,483.4,522.0
367.2,401.9,433.4,456.7,477.7,503.8,544.8
369.4,403.7,434.9,457.1,478.4,504.6,544.5
354.6,393.4,425.2,452.1,472.0,498.0,542.0
362.6,401.4,433.0,455.4,476.8,503.4,545.6
367.2,403.2,434.2,456.6,478.0,504.4,539.0
367.2,401.6,432.4,455.2,476.8,503.8,547.0
367.5,402.3,433.6,456.3,478.1,504.9,547.8
373.2,407.4,438.0,461.0,482.4,509.2,552.0
371.0,405.8,436.6,459.8,481.4,508.2,543.6
370.2,405.2,436.2,459.8,482.0,509.0,544.0
367.6,403.0,434.2,457.2,479.4,507.2,553.8
375.4,409.2,440.6,464.4,486.2,513.0,559.6
357.4,391.6,423.4,446.0,468.4,493.8,528.4
367.5,404.0,434.8,456.2,476.2,500.4,539.1
367.0,402.2,432.6,453.9,474.0,498.5,538.2
368.6,403.6,433.4,454.8,475.2,500.4,549.6
361.8,396.8,424.8,445.6,466.2,491.0,523.4
372.4,406.2,435.6,456.6,476.4,500.6,543.2
365.6,404.4,432.6,457.4,478.4,501.8,534.4
368.8,404.8,436.8,459.8,479.8,502.4,533.2
371.8,408.8,437.0,457.2,476.2,499.8,538.2
368.1,405.3,435.7,456.3,475.3,498.3,538.2
368.8,403.6,434.6,457.0,476.4,498.4,530.2
366.2,402.7,432.6,452.8,471.8,494.6,536.2
368.2,402.8,432.4,452.6,471.6,495.6,544.4
359.3,402.1,432.6,452.8,471.6,494.3,535.1
365.8,401.3,430.5,449.6,467.8,490.0,531.8
368.6,401.2,429.6,448.2,466.6,489.6,531.4
367.8,401.4,430.0,449.0,467.4,490.8,545.2
364.7,400.2,429.8,449.3,468.1,491.2,530.0
368.8,402.8,432.4,452.8,472.2,496.2,540.6
366.8,401.4,432.0,453.0,472.8,497.0,544.6
369.0,402.8,433.2,453.4,473.0,497.0,542.5
365.2,400.6,431.6,454.4,474.6,497.2,532.2
367.2,399.8,429.8,451.8,471.8,494.2,524.6
373.2,403.2,431.6,451.6,471.0,495.4,540.0
369.0,403.6,433.6,454.0,474.4,493.3,537.8
372.4,405.2,435.4,457.8,477.8,500.6,530.0
375.4,408.2,437.6,459.2,479.6,504.6,544.8
372.8,405.4,435.4,457.8,477.8,500.8,544.6
377.4,408.6,437.4,458.8,479.0,504.8,553.2
369.2,404.4,434.8,456.7,477.5,502.8,541.1
369.2,403.2,434.0,455.6,476.8,502.6,540.8
368.6,402.6,433.2,454.8,476.2,502.6,556.0
363.4,404.8,436.4,458.8,479.6,505.4,550.4
362.5,399.2,430.2,451.3,471.3,495.0,533.3
369.8,401.2,430.4,452.4,472.8,495.6,526.8
360.2,396.3,426.7,447.3,467.9,493.0,547.9
358.6,395.4,426.8,448.1,469.3,494.4,535.4
363.0,399.7,432.4,456.1,478.7,505.0,540.7
367.1,403.9,435.7,459.2,481.2,507.6,546.6
364.0,400.2,432.2,455.4,477.9,504.3,545.4
361.6,398.0,429.8,453.1,475.6,502.6,549.3
360.4,394.6,426.8,449.2,471.6,499.2,541.0
360.1,395.6,427.5,450.4,472.8,499.1,537.2
359.9,397.0,428.8,452.7,476.0,502.5,544.0
360.8,404.0,438.4,453.0,485.6,505.4,546.8
359.2,395.8,430.0,455.4,480.0,509.4,543.8
363.1,399.7,433.7,459.7,484.4,510.0,547.0
366.8,400.0,430.8,450.8,477.8,504.4,544.8
360.3,398.7,429.0,453.5,477.8,507.3,547.0
363.4,397.8,429.7,453.6,477.6,507.7,551.7
353.8,389.2,422.2,446.2,470.8,500.6,537.0
362.8,399.5,432.0,456.1,480.3,510.8,558.2
356.4,388.6,421.0,444.6,469.4,498.2,537.8
365.9,400.4,429.6,449.2,467.9,491.7,535.6
366.7,400.3,429.3,448.9,467.7,491.6,535.9
370.2,401.6,430.2,450.2,469.8,494.8,548.6
367.8,402.9,432.2,451.7,470.0,492.8,535.7
358.2,392.2,422.2,441.6,468.6,493.8,526.4
368.3,403.3,432.8,452.9,471.7,495.0,535.1
371.6,402.6,434.0,458.4,482.2,512.0,561.6
357.0,394.2,428.6,453.8,477.8,505.2,541.4
364.0,398.4,428.0,449.2,470.0,497.6,547.4
368.2,399.0,429.2,451.0,472.2,499.2,558.6
356.6,391.6,423.4,445.8,467.6,491.6,524.8
364.4,399.9,431.4,453.7,475.0,500.7,548.8
363.2,400.0,432.9,456.4,478.6,506.6,541.3
363.5,400.2,432.9,456.4,478.8,505.5,545.4
363.6,400.3,433.6,457.5,480.5,508.7,551.8
355.2,391.2,424.8,449.2,472.6,498.6,532.6
364.6,401.2,433.8,457.3,480.1,507.4,548.7
364.2,398.2,429.8,452.6,475.0,503.0,551.0
353.4,385.8,417.2,439.2,461.2,486.2,521.4
361.5,397.4,428.9,450.9,472.2,497.9,536.3
365.8,401.0,433.3,456.2,477.4,502.8,541.8
366.1,400.4,431.5,453.7,475.0,500.7,541.0
369.0,398.6,428.8,451.0,472.8,501.4,559.6
356.6,389.2,420.8,443.2,465.4,489.8,526.4
368.0,400.5,430.6,452.2,472.8,498.2,541.4
354.6,388.6,420.6,443.0,465.0,489.8,525.8
364.8,400.4,431.8,453.9,475.2,501.1,550.0
361.8,398.9,431.1,453.9,475.4,501.2,541.8
365.8,400.0,431.0,453.4,474.6,500.4,547.1
363.9,396.8,427.5,449.0,470.1,495.7,537.4
361.8,395.7,426.1,447.5,468.5,494.0,535.4
363.0,395.8,426.5,448.1,469.4,495.5,551.3
357.5,393.9,427.6,450.9,472.8,498.6,537.3
359.1,393.8,427.1,451.4,475.5,504.5,546.3
363.4,394.5,425.3,447.1,468.8,495.7,540.9
366.4,393.4,422.4,445.6,469.4,500.2,548.0
364.0,396.9,428.4,451.1,473.6,501.3,549.0
359.0,396.3,428.1,451.0,473.5,501.2,544.0
357.2,390.2,426.1,451.6,466.8,489.6,540.4
363.2,396.3,427.4,450.0,472.2,499.3,535.1
355.6,395.5,428.0,450.5,473.1,500.3,548.0
362.8,396.5,427.4,449.7,476.9,499.0,543.0
362.0,393.6,430.0,452.2,474.8,504.8,547.0
369.2,395.2,431.2,453.8,476.4,509.4,551.4
367.1,399.8,430.8,453.7,476.1,503.7,547.2
369.3,400.9,431.8,454.7,477.0,504.1,543.8
362.3,397.9,429.3,452.0,474.4,501.7,545.4
368.1,400.2,430.6,453.2,475.2,502.1,546.8
367.2,399.7,430.4,452.9,475.0,502.0,541.5
361.9,396.4,427.8,450.5,473.1,500.7,552.1
365.8,398.2,428.4,450.9,473.2,500.6,548.0
364.6,398.3,429.5,452.4,474.6,501.7,544.1
367.5,398.0,428.0,450.0,472.0,499.3,545.7
357.5,395.5,426.9,449.5,472.0,499.6,545.5
365.0,392.8,423.5,449.8,472.5,500.2,554.6
364.6,396.9,428.1,451.1,474.0,501.9,547.9
360.4,395.9,427.6,450.6,473.6,502.1,554.0
363.1,396.3,427.5,450.5,473.5,502.0,559.4
362.0,391.6,422.6,444.6,467.2,493.6,521.6
360.8,391.0,422.8,445.8,468.6,495.4,524.6
365.6,397.0,427.9,451.1,474.4,502.3,544.5
358.2,396.0,426.0,451.2,474.4,500.4,539.8
365.2,397.2,428.1,451.3,474.2,502.1,544.7
357.8,398.0,424.6,446.2,468.8,501.6,553.0
367.6,403.2,429.0,451.2,474.8,507.6,551.8
364.3,396.4,427.4,450.4,473.6,502.1,548.7
365.0,396.7,427.8,451.1,474.7,503.5,555.9
361.7,394.7,425.4,447.7,470.1,497.3,544.2
352.2,391.5,424.3,447.7,471.3,499.7,543.1
361.7,394.3,426.3,449.6,472.8,501.2,547.6
364.0,396.0,427.0,449.9,472.9,501.1,545.4
357.6,394.8,429.0,454.4,478.8,507.6,548.6
360.6,393.7,425.4,448.7,472.3,501.0,549.0
363.5,396.2,427.6,450.8,474.1,502.4,552.0
360.6,393.3,425.0,448.6,472.7,502.2,554.2
357.4,390.1,422.1,445.5,469.8,499.4,553.7
367.9,395.8,426.0,448.9,471.9,500.1,547.5
361.9,392.7,422.9,444.8,467.4,495.3,549.7
364.3,395.0,425.0,446.8,468.9,496.3,551.7
360.4,391.6,425.4,446.4,472.6,498.6,543.0
364.4,395.5,425.5,447.7,470.0,497.3,548.8
363.7,396.0,426.5,448.5,470.7,498.0,552.3
364.8,397.5,427.1,449.4,471.4,498.6,550.8
364.6,396.7,426.8,448.7,470.8,497.8,548.8
364.3,395.3,425.4,447.3,469.6,497.1,551.8
359.4,398.5,432.0,454.1,475.7,502.0,558.4
356.0,393.4,426.0,448.0,469.6,495.4,533.6
355.2,395.0,428.3,449.9,471.5,498.2,559.7
348.5,390.5,425.5,447.9,469.6,496.3,557.4
355.9,394.1,427.8,449.7,471.2,498.3,557.4
360.6,391.2,425.8,448.2,470.2,497.0,552.8
358.8,393.6,425.2,447.2,468.2,493.0,539.6
363.4,397.8,426.0,447.4,468.6,496.0,554.1
354.6,391.2,422.8,444.1,465.4,490.0,526.2
353.8,392.8,428.6,450.6,472.6,499.8,543.0
360.3,396.1,424.9,446.2,467.9,495.9,569.2
355.2,389.4,421.2,442.6,463.6,490.0,536.0
361.4,395.8,424.0,446.2,466.6,494.0,558.2
362.0,395.9,424.0,444.9,466.4,493.4,557.2
361.2,396.3,425.0,446.4,467.8,494.4,551.6
358.9,395.1,424.6,446.0,467.3,493.5,555.4
357.2,392.7,421.1,440.8,461.3,488.4,558.4
358.7,396.0,426.6,446.9,467.5,494.2,552.5
358.3,393.5,422.2,442.6,463.5,490.2,558.3
359.4,394.4,423.0,443.2,463.8,489.8,553.3
356.4,389.1,419.6,443.9,462.9,490.6,553.4
357.3,393.7,423.4,444.8,466.7,495.1,561.0
353.6,386.6,418.0,439.0,459.4,483.0,547.4
355.0,387.6,418.2,438.8,459.0,483.0,537.8
354.0,386.8,418.0,438.8,458.8,482.6,527.4
353.2,383.2,414.6,435.6,455.6,482.6,523.8
352.0,384.3,415.7,436.9,458.1,483.4,529.9
359.4,391.8,422.8,444.4,466.0,490.6,524.8
355.6,389.2,422.8,446.4,469.6,497.2,533.2
355.8,392.0,426.7,451.1,474.7,503.7,545.6
353.8,387.4,421.8,446.0,469.4,496.6,533.2
361.0,392.2,424.4,447.8,470.8,497.6,533.8
364.2,395.2,426.6,449.6,471.4,496.8,530.6
373.2,403.4,433.6,455.8,476.6,500.8,534.7
366.5,400.6,432.0,454.4,476.4,503.1,538.7
362.9,399.0,430.7,453.2,474.7,501.0,540.1
375.6,406.0,436.6,459.0,479.6,504.0,542.2
363.8,399.5,431.1,453.9,475.5,502.1,542.3
364.2,399.7,431.4,454.4,476.3,503.0,546.0
361.8,397.9,430.2,453.3,475.4,502.2,541.9
361.2,397.1,429.0,451.5,473.2,499.6,540.5
366.0,400.2,431.0,453.4,474.6,500.6,538.4
370.0,401.2,432.0,454.8,476.0,500.6,538.0
366.0,397.5,427.6,449.0,470.0,496.2,538.3
358.6,394.2,426.6,449.0,471.2,497.6,539.4
352.4,392.2,425.2,448.2,470.2,496.8,534.4
365.8,399.8,430.6,453.0,474.6,501.0,541.4
352.8,397.4,429.9,452.4,474.0,500.5,541.4
363.0,396.7,429.0,453.7,477.8,509.1,551.8
368.1,402.4,433.8,456.6,478.5,505.5,547.8
371.2,403.0,434.8,459.2,482.2,510.6,554.8
362.8,399.8,435.0,459.8,482.2,510.6,551.2
360.8,397.6,429.8,453.2,475.6,502.6,542.8
377.2,406.0,436.2,460.4,483.0,511.4,558.4
354.4,392.5,425.9,449.2,472.1,500.1,546.5
377.4,406.0,435.6,459.0,481.4,510.2,557.8
360.4,396.0,428.4,451.4,473.6,500.2,535.4
367.8,410.0,431.4,453.8,475.5,502.1,542.2
360.7,395.9,427.5,449.7,471.4,497.5,536.2
373.0,410.6,439.0,462.4,484.4,512.4,559.4
369.3,401.0,429.7,450.2,470.7,495.7,537.2
362.9,397.5,428.5,449.8,470.5,496.3,540.3
369.3,403.1,433.0,453.8,474.2,499.2,538.0
359.7,395.2,426.6,448.1,469.6,495.9,549.1
354.0,388.0,427.4,447.3,470.2,490.8,535.2
364.9,398.6,428.7,449.9,471.0,497.2,537.7
362.4,397.1,428.9,451.8,474.1,501.8,550.8
365.6,398.4,429.1,451.3,473.0,499.9,539.6
362.3,397.7,429.6,452.5,474.5,501.3,546.0
359.8,395.5,426.6,448.1,469.1,494.3,534.2
372.4,404.1,434.0,454.0,475.2,502.3,550.2
365.5,399.1,429.5,451.2,471.9,497.3,538.6
367.0,400.6,431.4,453.2,473.8,498.4,534.2
363.8,402.7,434.4,455.9,476.5,501.2,538.8
367.6,401.8,433.8,456.8,478.6,505.4,548.6
368.4,400.6,431.8,454.4,476.7,504.7,553.7
365.6,399.7,431.0,453.1,474.6,501.6,545.3
368.5,400.2,430.0,451.8,473.2,499.6,537.8
365.2,398.9,430.0,452.2,473.6,499.8,541.7
364.2,399.2,430.4,453.4,474.8,500.2,533.6
365.2,400.6,432.6,455.0,476.0,501.2,534.4
369.6,404.1,435.3,457.3,477.5,504.1,540.4
366.8,402.4,434.2,456.6,478.0,503.2,536.8
370.9,405.1,436.2,458.3,479.4,505.4,547.3
368.5,403.3,434.8,457.1,478.6,505.1,547.4
370.3,405.3,436.5,458.8,480.2,506.2,546.5
368.4,398.2,427.8,451.0,473.2,499.8,540.4
366.5,401.5,433.0,455.4,476.7,502.9,541.4
363.8,397.8,428.8,451.2,472.8,498.8,536.2
360.0,396.4,428.2,450.8,472.6,498.8,537.4
366.4,401.1,432.9,455.6,477.4,503.7,543.0
366.4,401.0,435.3,457.7,479.3,505.5,546.7
369.4,404.1,435.7,458.3,479.7,505.8,545.7
365.6,400.6,432.2,455.0,476.8,502.8,540.8
369.9,405.7,437.0,459.4,480.6,506.4,545.7
369.1,400.5,430.3,458.4,480.1,504.2,542.5
373.4,406.8,436.0,456.6,475.6,498.0,534.0
370.9,405.7,434.7,454.5,472.9,495.6,536.4
363.4,401.8,433.8,455.2,472.6,499.4,544.1
372.8,407.6,436.3,456.0,474.0,496.4,536.2
367.4,401.2,429.6,448.9,467.7,490.6,536.0
368.0,401.0,429.8,449.8,468.6,491.2,532.0
374.2,408.8,438.0,458.2,476.7,499.4,540.8
366.0,400.0,429.5,449.4,468.4,492.1,532.7
356.6,390.8,420.0,439.0,457.6,481.4,523.8
368.0,398.9,426.2,445.2,464.1,488.7,541.5
368.7,400.0,428.2,448.1,467.4,491.3,531.8
373.4,408.6,435.7,454.5,472.4,495.0,534.9
