T (K),"-CH3,neutral","-CH3,P-based","-CH3,N-based","-CH3,anion-based",-CH2-neutral,-CH2-P-based,-CH2-N-based,-CH2-anion-based,>CH-,>C<,-OH,-O-,-COOH,-COO-,-NH2,-NH-,>N-cation-based,>N-anion-based,>N-neutral,-CN,-F,-Br,-I,-Pcation-based,-Panion-based,-B,-S-, -SO2,=CH-, =C<, -O-, =N-
303.79,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
305.68,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
307.57,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
309.46,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
311.34,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
313.23,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
315.12,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
317.02,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
318.92,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
320.82,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
322.71,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
324.61,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
326.51,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
328.41,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
330.31,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
332.21,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
334.11,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
336.01,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
337.91,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
339.81,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
341.72,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
343.62,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
345.52,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
347.44,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
349.34,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
351.25,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
353.16,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
355.06,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
356.97,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
358.87,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
360.78,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
362.69,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
364.59,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
366.5,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
368.4,1,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0
288.15,1,0,1,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
298.15,1,0,1,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
308.15,1,0,1,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
293,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
298,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
303,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
308,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
313,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
318,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
323,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
328,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
333,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
338,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
343,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
348,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
353,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
358,2,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0
330.15,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
372.15,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
313.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
318.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
323.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
328.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
333.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
338.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
343.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
348.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
353.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
358.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
363.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
368.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
373.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
378.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
383.2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,1,0,2
288.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
290.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
293.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
295.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
298.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
300.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
303.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
305.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
308.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
310.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
313.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
315.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
318.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
320.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
323.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
325.65,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
328.15,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,4,1,0,1
